gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Tenure_Years,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,0,0,0.06944444444444445,1,0,0.6158445440956652,0.30790419632792854,0.06944444444444445,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
0,1,0,0,0.041666666666666664,1,1,0.682112605879422,0.23221766605480282,0.041666666666666664,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
0,0,1,0,0.041666666666666664,1,1,0.565520677628301,0.22977751403700836,0.041666666666666664,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
0,0,0,0,0.8333333333333333,1,0,0.6193323368211261,0.8266040985528986,0.8333333333333333,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,0
0,0,0,0,0.16666666666666666,1,1,0.8021923268560041,0.4878587277876036,0.16666666666666666,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,1
0,0,1,0,0.9027777777777777,1,0,0.009466865969108146,0.5198203139269361,0.9027777777777778,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
1,0,0,0,0.25,1,0,0.0059790732436472704,0.29389252130023436,0.25,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0
0,0,0,0,0.1111111111111111,1,0,0.45540607872446437,0.34905504224297684,0.1111111111111111,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,0
1,0,0,0,0.4305555555555555,1,0,0.020428500249128068,0.3872780955047692,0.4305555555555556,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,0,0,0,0.9166666666666666,1,1,0.06726457399103139,0.5698995922891287,0.9166666666666666,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
